Proceso,Expediente Tipo,Expediente Número,Magistrado(a) ponente,Sala,Sentencia Tipo,Sentencia,Fecha Sentencia,SV-SPV,AV-APV
Tutela,T,22897,Hernando Herrera Vergara,Salas de Revisión,T,T-074/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,24945,Hernando Herrera Vergara,Salas de Revisión,T,T-075/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,25125,Hernando Herrera Vergara,Salas de Revisión,T,T-076/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,25298,Hernando Herrera Vergara,Salas de Revisión,T,T-077/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,25367,Hernando Herrera Vergara,Salas de Revisión,T,T-078/94,02/23/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,19696,Antonio Barrera Carbonell,Salas de Revisión,T,T-079/94,02/24/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,381,Fabio Morón Díaz,Sala Plena,C,C-080/94,02/28/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21819,Antonio Barrera Carbonell,Salas de Revisión,T,T-081/94,02/28/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,23055,Jorge Arango Mejía,Salas de Revisión,T,T-082/94,03/01/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22456,Jorge Arango Mejía,Salas de Revisión,T,T-083/94,03/01/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,20489,Carlos Gaviria Díaz,Salas de Revisión,T,T-084/94,03/02/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21330,Carlos Gaviria Díaz,Salas de Revisión,T,T-085/94,03/02/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,360,Jorge Arango Mejía,Sala Plena,C,C-086/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Ley Aprobatoria de Tratado,LAT,16,Jorge Arango Mejía,Sala Plena,C,C-087/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Proyecto de Ley Estatutaria,PE,3,Fabio Morón Díaz,Sala Plena,C,C-088/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Proyecto de Ley Estatutaria,PE,4,Eduardo Cifuentes Muñoz,Sala Plena,C,C-089/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,371,Vladimiro Naranjo Mesa,Sala Plena,C,C-089A/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,24062,Hernando Herrera Vergara,Salas de Revisión,T,T-090/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,24009,Hernando Herrera Vergara,Salas de Revisión,T,T-091/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,24503,Alejandro Martínez Caballero,Salas de Revisión,T,T-092/94,03/03/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,448,Hernando Herrera Vergara,Sala Plena,C,C-093/94,03/04/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21025,Hernando Herrera Vergara,Salas de Revisión,T,T-094/94,03/04/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22782,José Gregorio Hernández Galindo,Salas de Revisión,T,T-095/94,03/04/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,22409,Alejandro Martínez Caballero,Salas de Revisión,T,T-096/94,03/04/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,23114,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-097/94,03/07/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,23023,Eduardo Cifuentes Muñoz,Salas de Revisión,T,T-098/94,03/07/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,21543,Jorge Arango Mejía,Salas de Revisión,T,T-099/94,03/07/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,23544,Carlos Gaviria Díaz,Salas de Revisión,T,T-100/94,03/09/1994 12:00:00 AM,s.d.,s.d.
Tutela,T,23641,Carlos Gaviria Díaz,Salas de Revisión,T,T-101/94,03/09/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,379,Carlos Gaviria Díaz,Sala Plena,C,C-102/94,03/10/1994 12:00:00 AM,s.d.,s.d.
Demanda de inconstitucionalidad,D,377,Jorge Arango Mejía,Sala Plena,C,C-103/94,03/10/1994 12:00:00 AM,s.d.,s.d.
